KEGG ID hsa,hsa,KEGG ID pae,pae,KEGG ID lsv,lsv,KEGG ID rsx,rsx,KEGG ID ztr,ztr,KEGG ID bfu,bfu,KEGG ID cne,cne,KEGG ID cng,cng,KEGG ID cal,cal,KEGG ID afm,afm
hsa05034,Alcoholism - Homo sapiens (human),,,,,,,,,,,,,,,,,,
hsa05417,Lipid and atherosclerosis - Homo sapiens (human),,,,,,,,,,,,,,,,,,
hsa05418,Fluid shear stress and atherosclerosis - Homo sapiens (human),,,,,,,,,,,,,,,,,,
hsa05410,Hypertrophic cardiomyopathy - Homo sapiens (human),,,,,,,,,,,,,,,,,,
hsa05412,Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human),,,,,,,,,,,,,,,,,,
hsa05414,Dilated cardiomyopathy - Homo sapiens (human),,,,,,,,,,,,,,,,,,
hsa05415,Diabetic cardiomyopathy - Homo sapiens (human),,,,,,,,,,,,,,,,,,
hsa05416,Viral myocarditis - Homo sapiens (human),,,,,,,,,,,,,,,,,,
hsa04930,Type II diabetes mellitus - Homo sapiens (human),,,,,,,,,,,,,,,,,,
hsa04940,Type I diabetes mellitus - Homo sapiens (human),,,,,,,,,,,,,,,,,,
hsa04950,Maturity onset diabetes of the young - Homo sapiens (human),,,,,,,,,,,,,,,,,,
hsa04936,Alcoholic liver disease - Homo sapiens (human),,,,,,,,,,,,,,,,,,
hsa04932,Non-alcoholic fatty liver disease - Homo sapiens (human),,,,,,,,,,,,,,,,,,
hsa04931,Insulin resistance - Homo sapiens (human),,,,,,,,,,,,,,,,,,
hsa04933,AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human),,,,,,,,,,,,,,,,,,
hsa04934,Cushing syndrome - Homo sapiens (human),,,,,,,,,,,,,,,,,,
hsa01521,EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human),,,,,,,,,,,,,,,,,,
hsa01524,Platinum drug resistance - Homo sapiens (human),,,,,,,,,,,,,,,,,,
hsa01523,Antifolate resistance - Homo sapiens (human),,,,,,,,,,,,,,,,,,
hsa01522,Endocrine resistance - Homo sapiens (human),,,,,,,,,,,,,,,,,,
